month,year,monthly_inflation_rate_wrt_last_year,kraj
january,2008,7.5,PHA
january,2008,7.5,HKK
january,2008,7.5,STC
january,2008,7.5,PAK
january,2008,7.5,VYS
january,2008,7.5,JHC
january,2008,7.5,JHM
january,2008,7.5,PLK
january,2008,7.5,OLK
january,2008,7.5,KVK
january,2008,7.5,ZLK
january,2008,7.5,ULK
january,2008,7.5,MSK
january,2008,7.5,LBK
february,2008,7.5,PHA
february,2008,7.5,HKK
february,2008,7.5,STC
february,2008,7.5,PAK
february,2008,7.5,VYS
february,2008,7.5,JHC
february,2008,7.5,JHM
february,2008,7.5,PLK
february,2008,7.5,OLK
february,2008,7.5,KVK
february,2008,7.5,ZLK
february,2008,7.5,ULK
february,2008,7.5,MSK
february,2008,7.5,LBK
march,2008,7.1,PHA
march,2008,7.1,HKK
march,2008,7.1,STC
march,2008,7.1,PAK
march,2008,7.1,VYS
march,2008,7.1,JHC
march,2008,7.1,JHM
march,2008,7.1,PLK
march,2008,7.1,OLK
march,2008,7.1,KVK
march,2008,7.1,ZLK
march,2008,7.1,ULK
march,2008,7.1,MSK
march,2008,7.1,LBK
april,2008,6.8,PHA
april,2008,6.8,HKK
april,2008,6.8,STC
april,2008,6.8,PAK
april,2008,6.8,VYS
april,2008,6.8,JHC
april,2008,6.8,JHM
april,2008,6.8,PLK
april,2008,6.8,OLK
april,2008,6.8,KVK
april,2008,6.8,ZLK
april,2008,6.8,ULK
april,2008,6.8,MSK
april,2008,6.8,LBK
may,2008,6.8,PHA
may,2008,6.8,HKK
may,2008,6.8,STC
may,2008,6.8,PAK
may,2008,6.8,VYS
may,2008,6.8,JHC
may,2008,6.8,JHM
may,2008,6.8,PLK
may,2008,6.8,OLK
may,2008,6.8,KVK
may,2008,6.8,ZLK
may,2008,6.8,ULK
may,2008,6.8,MSK
may,2008,6.8,LBK
june,2008,6.7,PHA
june,2008,6.7,HKK
june,2008,6.7,STC
june,2008,6.7,PAK
june,2008,6.7,VYS
june,2008,6.7,JHC
june,2008,6.7,JHM
june,2008,6.7,PLK
june,2008,6.7,OLK
june,2008,6.7,KVK
june,2008,6.7,ZLK
june,2008,6.7,ULK
june,2008,6.7,MSK
june,2008,6.7,LBK
july,2008,6.9,PHA
july,2008,6.9,HKK
july,2008,6.9,STC
july,2008,6.9,PAK
july,2008,6.9,VYS
july,2008,6.9,JHC
july,2008,6.9,JHM
july,2008,6.9,PLK
july,2008,6.9,OLK
july,2008,6.9,KVK
july,2008,6.9,ZLK
july,2008,6.9,ULK
july,2008,6.9,MSK
july,2008,6.9,LBK
august,2008,6.5,PHA
august,2008,6.5,HKK
august,2008,6.5,STC
august,2008,6.5,PAK
august,2008,6.5,VYS
august,2008,6.5,JHC
august,2008,6.5,JHM
august,2008,6.5,PLK
august,2008,6.5,OLK
august,2008,6.5,KVK
august,2008,6.5,ZLK
august,2008,6.5,ULK
august,2008,6.5,MSK
august,2008,6.5,LBK
september,2008,6.6,PHA
september,2008,6.6,HKK
september,2008,6.6,STC
september,2008,6.6,PAK
september,2008,6.6,VYS
september,2008,6.6,JHC
september,2008,6.6,JHM
september,2008,6.6,PLK
september,2008,6.6,OLK
september,2008,6.6,KVK
september,2008,6.6,ZLK
september,2008,6.6,ULK
september,2008,6.6,MSK
september,2008,6.6,LBK
october,2008,6.0,PHA
october,2008,6.0,HKK
october,2008,6.0,STC
october,2008,6.0,PAK
october,2008,6.0,VYS
october,2008,6.0,JHC
october,2008,6.0,JHM
october,2008,6.0,PLK
october,2008,6.0,OLK
october,2008,6.0,KVK
october,2008,6.0,ZLK
october,2008,6.0,ULK
october,2008,6.0,MSK
october,2008,6.0,LBK
november,2008,4.4,PHA
november,2008,4.4,HKK
november,2008,4.4,STC
november,2008,4.4,PAK
november,2008,4.4,VYS
november,2008,4.4,JHC
november,2008,4.4,JHM
november,2008,4.4,PLK
november,2008,4.4,OLK
november,2008,4.4,KVK
november,2008,4.4,ZLK
november,2008,4.4,ULK
november,2008,4.4,MSK
november,2008,4.4,LBK
december,2008,3.6,PHA
december,2008,3.6,HKK
december,2008,3.6,STC
december,2008,3.6,PAK
december,2008,3.6,VYS
december,2008,3.6,JHC
december,2008,3.6,JHM
december,2008,3.6,PLK
december,2008,3.6,OLK
december,2008,3.6,KVK
december,2008,3.6,ZLK
december,2008,3.6,ULK
december,2008,3.6,MSK
december,2008,3.6,LBK
january,2009,2.2,PHA
january,2009,2.2,HKK
january,2009,2.2,STC
january,2009,2.2,PAK
january,2009,2.2,VYS
january,2009,2.2,JHC
january,2009,2.2,JHM
january,2009,2.2,PLK
january,2009,2.2,OLK
january,2009,2.2,KVK
january,2009,2.2,ZLK
january,2009,2.2,ULK
january,2009,2.2,MSK
january,2009,2.2,LBK
february,2009,2.0,PHA
february,2009,2.0,HKK
february,2009,2.0,STC
february,2009,2.0,PAK
february,2009,2.0,VYS
february,2009,2.0,JHC
february,2009,2.0,JHM
february,2009,2.0,PLK
february,2009,2.0,OLK
february,2009,2.0,KVK
february,2009,2.0,ZLK
february,2009,2.0,ULK
february,2009,2.0,MSK
february,2009,2.0,LBK
march,2009,2.3,PHA
march,2009,2.3,HKK
march,2009,2.3,STC
march,2009,2.3,PAK
march,2009,2.3,VYS
march,2009,2.3,JHC
march,2009,2.3,JHM
march,2009,2.3,PLK
march,2009,2.3,OLK
march,2009,2.3,KVK
march,2009,2.3,ZLK
march,2009,2.3,ULK
march,2009,2.3,MSK
march,2009,2.3,LBK
april,2009,1.8,PHA
april,2009,1.8,HKK
april,2009,1.8,STC
april,2009,1.8,PAK
april,2009,1.8,VYS
april,2009,1.8,JHC
april,2009,1.8,JHM
april,2009,1.8,PLK
april,2009,1.8,OLK
april,2009,1.8,KVK
april,2009,1.8,ZLK
april,2009,1.8,ULK
april,2009,1.8,MSK
april,2009,1.8,LBK
may,2009,1.3,PHA
may,2009,1.3,HKK
may,2009,1.3,STC
may,2009,1.3,PAK
may,2009,1.3,VYS
may,2009,1.3,JHC
may,2009,1.3,JHM
may,2009,1.3,PLK
may,2009,1.3,OLK
may,2009,1.3,KVK
may,2009,1.3,ZLK
may,2009,1.3,ULK
may,2009,1.3,MSK
may,2009,1.3,LBK
june,2009,1.2,PHA
june,2009,1.2,HKK
june,2009,1.2,STC
june,2009,1.2,PAK
june,2009,1.2,VYS
june,2009,1.2,JHC
june,2009,1.2,JHM
june,2009,1.2,PLK
june,2009,1.2,OLK
june,2009,1.2,KVK
june,2009,1.2,ZLK
june,2009,1.2,ULK
june,2009,1.2,MSK
june,2009,1.2,LBK
july,2009,0.3,PHA
july,2009,0.3,HKK
july,2009,0.3,STC
july,2009,0.3,PAK
july,2009,0.3,VYS
july,2009,0.3,JHC
july,2009,0.3,JHM
july,2009,0.3,PLK
july,2009,0.3,OLK
july,2009,0.3,KVK
july,2009,0.3,ZLK
july,2009,0.3,ULK
july,2009,0.3,MSK
july,2009,0.3,LBK
august,2009,0.2,PHA
august,2009,0.2,HKK
august,2009,0.2,STC
august,2009,0.2,PAK
august,2009,0.2,VYS
august,2009,0.2,JHC
august,2009,0.2,JHM
august,2009,0.2,PLK
august,2009,0.2,OLK
august,2009,0.2,KVK
august,2009,0.2,ZLK
august,2009,0.2,ULK
august,2009,0.2,MSK
august,2009,0.2,LBK
september,2009,0.0,PHA
september,2009,0.0,HKK
september,2009,0.0,STC
september,2009,0.0,PAK
september,2009,0.0,VYS
september,2009,0.0,JHC
september,2009,0.0,JHM
september,2009,0.0,PLK
september,2009,0.0,OLK
september,2009,0.0,KVK
september,2009,0.0,ZLK
september,2009,0.0,ULK
september,2009,0.0,MSK
september,2009,0.0,LBK
october,2009,-0.2,PHA
october,2009,-0.2,HKK
october,2009,-0.2,STC
october,2009,-0.2,PAK
october,2009,-0.2,VYS
october,2009,-0.2,JHC
october,2009,-0.2,JHM
october,2009,-0.2,PLK
october,2009,-0.2,OLK
october,2009,-0.2,KVK
october,2009,-0.2,ZLK
october,2009,-0.2,ULK
october,2009,-0.2,MSK
october,2009,-0.2,LBK
november,2009,0.5,PHA
november,2009,0.5,HKK
november,2009,0.5,STC
november,2009,0.5,PAK
november,2009,0.5,VYS
november,2009,0.5,JHC
november,2009,0.5,JHM
november,2009,0.5,PLK
november,2009,0.5,OLK
november,2009,0.5,KVK
november,2009,0.5,ZLK
november,2009,0.5,ULK
november,2009,0.5,MSK
november,2009,0.5,LBK
december,2009,1.0,PHA
december,2009,1.0,HKK
december,2009,1.0,STC
december,2009,1.0,PAK
december,2009,1.0,VYS
december,2009,1.0,JHC
december,2009,1.0,JHM
december,2009,1.0,PLK
december,2009,1.0,OLK
december,2009,1.0,KVK
december,2009,1.0,ZLK
december,2009,1.0,ULK
december,2009,1.0,MSK
december,2009,1.0,LBK
january,2010,0.7,PHA
january,2010,0.7,HKK
january,2010,0.7,STC
january,2010,0.7,PAK
january,2010,0.7,VYS
january,2010,0.7,JHC
january,2010,0.7,JHM
january,2010,0.7,PLK
january,2010,0.7,OLK
january,2010,0.7,KVK
january,2010,0.7,ZLK
january,2010,0.7,ULK
january,2010,0.7,MSK
january,2010,0.7,LBK
february,2010,0.6,PHA
february,2010,0.6,HKK
february,2010,0.6,STC
february,2010,0.6,PAK
february,2010,0.6,VYS
february,2010,0.6,JHC
february,2010,0.6,JHM
february,2010,0.6,PLK
february,2010,0.6,OLK
february,2010,0.6,KVK
february,2010,0.6,ZLK
february,2010,0.6,ULK
february,2010,0.6,MSK
february,2010,0.6,LBK
march,2010,0.7,PHA
march,2010,0.7,HKK
march,2010,0.7,STC
march,2010,0.7,PAK
march,2010,0.7,VYS
march,2010,0.7,JHC
march,2010,0.7,JHM
march,2010,0.7,PLK
march,2010,0.7,OLK
march,2010,0.7,KVK
march,2010,0.7,ZLK
march,2010,0.7,ULK
march,2010,0.7,MSK
march,2010,0.7,LBK
april,2010,1.1,PHA
april,2010,1.1,HKK
april,2010,1.1,STC
april,2010,1.1,PAK
april,2010,1.1,VYS
april,2010,1.1,JHC
april,2010,1.1,JHM
april,2010,1.1,PLK
april,2010,1.1,OLK
april,2010,1.1,KVK
april,2010,1.1,ZLK
april,2010,1.1,ULK
april,2010,1.1,MSK
april,2010,1.1,LBK
may,2010,1.2,PHA
may,2010,1.2,HKK
may,2010,1.2,STC
may,2010,1.2,PAK
may,2010,1.2,VYS
may,2010,1.2,JHC
may,2010,1.2,JHM
may,2010,1.2,PLK
may,2010,1.2,OLK
may,2010,1.2,KVK
may,2010,1.2,ZLK
may,2010,1.2,ULK
may,2010,1.2,MSK
may,2010,1.2,LBK
june,2010,1.2,PHA
june,2010,1.2,HKK
june,2010,1.2,STC
june,2010,1.2,PAK
june,2010,1.2,VYS
june,2010,1.2,JHC
june,2010,1.2,JHM
june,2010,1.2,PLK
june,2010,1.2,OLK
june,2010,1.2,KVK
june,2010,1.2,ZLK
june,2010,1.2,ULK
june,2010,1.2,MSK
june,2010,1.2,LBK
july,2010,1.9,PHA
july,2010,1.9,HKK
july,2010,1.9,STC
july,2010,1.9,PAK
july,2010,1.9,VYS
july,2010,1.9,JHC
july,2010,1.9,JHM
july,2010,1.9,PLK
july,2010,1.9,OLK
july,2010,1.9,KVK
july,2010,1.9,ZLK
july,2010,1.9,ULK
july,2010,1.9,MSK
july,2010,1.9,LBK
august,2010,1.9,PHA
august,2010,1.9,HKK
august,2010,1.9,STC
august,2010,1.9,PAK
august,2010,1.9,VYS
august,2010,1.9,JHC
august,2010,1.9,JHM
august,2010,1.9,PLK
august,2010,1.9,OLK
august,2010,1.9,KVK
august,2010,1.9,ZLK
august,2010,1.9,ULK
august,2010,1.9,MSK
august,2010,1.9,LBK
september,2010,2.0,PHA
september,2010,2.0,HKK
september,2010,2.0,STC
september,2010,2.0,PAK
september,2010,2.0,VYS
september,2010,2.0,JHC
september,2010,2.0,JHM
september,2010,2.0,PLK
september,2010,2.0,OLK
september,2010,2.0,KVK
september,2010,2.0,ZLK
september,2010,2.0,ULK
september,2010,2.0,MSK
september,2010,2.0,LBK
october,2010,2.0,PHA
october,2010,2.0,HKK
october,2010,2.0,STC
october,2010,2.0,PAK
october,2010,2.0,VYS
october,2010,2.0,JHC
october,2010,2.0,JHM
october,2010,2.0,PLK
october,2010,2.0,OLK
october,2010,2.0,KVK
october,2010,2.0,ZLK
october,2010,2.0,ULK
october,2010,2.0,MSK
october,2010,2.0,LBK
november,2010,2.0,PHA
november,2010,2.0,HKK
november,2010,2.0,STC
november,2010,2.0,PAK
november,2010,2.0,VYS
november,2010,2.0,JHC
november,2010,2.0,JHM
november,2010,2.0,PLK
november,2010,2.0,OLK
november,2010,2.0,KVK
november,2010,2.0,ZLK
november,2010,2.0,ULK
november,2010,2.0,MSK
november,2010,2.0,LBK
december,2010,2.3,PHA
december,2010,2.3,HKK
december,2010,2.3,STC
december,2010,2.3,PAK
december,2010,2.3,VYS
december,2010,2.3,JHC
december,2010,2.3,JHM
december,2010,2.3,PLK
december,2010,2.3,OLK
december,2010,2.3,KVK
december,2010,2.3,ZLK
december,2010,2.3,ULK
december,2010,2.3,MSK
december,2010,2.3,LBK
january,2011,1.7,PHA
january,2011,1.7,HKK
january,2011,1.7,STC
january,2011,1.7,PAK
january,2011,1.7,VYS
january,2011,1.7,JHC
january,2011,1.7,JHM
january,2011,1.7,PLK
january,2011,1.7,OLK
january,2011,1.7,KVK
january,2011,1.7,ZLK
january,2011,1.7,ULK
january,2011,1.7,MSK
january,2011,1.7,LBK
february,2011,1.8,PHA
february,2011,1.8,HKK
february,2011,1.8,STC
february,2011,1.8,PAK
february,2011,1.8,VYS
february,2011,1.8,JHC
february,2011,1.8,JHM
february,2011,1.8,PLK
february,2011,1.8,OLK
february,2011,1.8,KVK
february,2011,1.8,ZLK
february,2011,1.8,ULK
february,2011,1.8,MSK
february,2011,1.8,LBK
march,2011,1.7,PHA
march,2011,1.7,HKK
march,2011,1.7,STC
march,2011,1.7,PAK
march,2011,1.7,VYS
march,2011,1.7,JHC
march,2011,1.7,JHM
march,2011,1.7,PLK
march,2011,1.7,OLK
march,2011,1.7,KVK
march,2011,1.7,ZLK
march,2011,1.7,ULK
march,2011,1.7,MSK
march,2011,1.7,LBK
april,2011,1.6,PHA
april,2011,1.6,HKK
april,2011,1.6,STC
april,2011,1.6,PAK
april,2011,1.6,VYS
april,2011,1.6,JHC
april,2011,1.6,JHM
april,2011,1.6,PLK
april,2011,1.6,OLK
april,2011,1.6,KVK
april,2011,1.6,ZLK
april,2011,1.6,ULK
april,2011,1.6,MSK
april,2011,1.6,LBK
may,2011,2.0,PHA
may,2011,2.0,HKK
may,2011,2.0,STC
may,2011,2.0,PAK
may,2011,2.0,VYS
may,2011,2.0,JHC
may,2011,2.0,JHM
may,2011,2.0,PLK
may,2011,2.0,OLK
may,2011,2.0,KVK
may,2011,2.0,ZLK
may,2011,2.0,ULK
may,2011,2.0,MSK
may,2011,2.0,LBK
june,2011,1.8,PHA
june,2011,1.8,HKK
june,2011,1.8,STC
june,2011,1.8,PAK
june,2011,1.8,VYS
june,2011,1.8,JHC
june,2011,1.8,JHM
june,2011,1.8,PLK
june,2011,1.8,OLK
june,2011,1.8,KVK
june,2011,1.8,ZLK
june,2011,1.8,ULK
june,2011,1.8,MSK
june,2011,1.8,LBK
july,2011,1.7,PHA
july,2011,1.7,HKK
july,2011,1.7,STC
july,2011,1.7,PAK
july,2011,1.7,VYS
july,2011,1.7,JHC
july,2011,1.7,JHM
july,2011,1.7,PLK
july,2011,1.7,OLK
july,2011,1.7,KVK
july,2011,1.7,ZLK
july,2011,1.7,ULK
july,2011,1.7,MSK
july,2011,1.7,LBK
august,2011,1.7,PHA
august,2011,1.7,HKK
august,2011,1.7,STC
august,2011,1.7,PAK
august,2011,1.7,VYS
august,2011,1.7,JHC
august,2011,1.7,JHM
august,2011,1.7,PLK
august,2011,1.7,OLK
august,2011,1.7,KVK
august,2011,1.7,ZLK
august,2011,1.7,ULK
august,2011,1.7,MSK
august,2011,1.7,LBK
september,2011,1.8,PHA
september,2011,1.8,HKK
september,2011,1.8,STC
september,2011,1.8,PAK
september,2011,1.8,VYS
september,2011,1.8,JHC
september,2011,1.8,JHM
september,2011,1.8,PLK
september,2011,1.8,OLK
september,2011,1.8,KVK
september,2011,1.8,ZLK
september,2011,1.8,ULK
september,2011,1.8,MSK
september,2011,1.8,LBK
october,2011,2.3,PHA
october,2011,2.3,HKK
october,2011,2.3,STC
october,2011,2.3,PAK
october,2011,2.3,VYS
october,2011,2.3,JHC
october,2011,2.3,JHM
october,2011,2.3,PLK
october,2011,2.3,OLK
october,2011,2.3,KVK
october,2011,2.3,ZLK
october,2011,2.3,ULK
october,2011,2.3,MSK
october,2011,2.3,LBK
november,2011,2.5,PHA
november,2011,2.5,HKK
november,2011,2.5,STC
november,2011,2.5,PAK
november,2011,2.5,VYS
november,2011,2.5,JHC
november,2011,2.5,JHM
november,2011,2.5,PLK
november,2011,2.5,OLK
november,2011,2.5,KVK
november,2011,2.5,ZLK
november,2011,2.5,ULK
november,2011,2.5,MSK
